testing_model_structure,testing_model_type,testing_model_augmentation,testing_model_idx,D_attack_type,D_attack_direction,D_generating_model,D_idx,acc,loss
ResNet20v1,ff,cw,1,cwl2,untargeted,ResNet56v1,0,0.2108000069856643,3.989633321762085
ResNet20v1,ff,cw,1,pgd,untargeted,ResNet56v2,2,0.1058999970555305,4.759505271911621
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg19,1,0.3626999855041504,3.600011348724365
ResNet20v1,ff,cw,1,pgd,untargeted,vgg13,1,0.6373999714851379,2.0681612491607666
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg19,0,0.3626999855041504,3.696455001831055
ResNet20v1,ff,cw,1,pgd,untargeted,vgg11,0,0.5120000243186951,2.4982364177703857
ResNet20v1,ff,cw,1,pgd,untargeted,vgg19,2,0.6097000241279602,2.347012519836426
ResNet20v1,ff,cw,1,pgd,untargeted,vgg16,0,0.6104000210762024,2.3862650394439697
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg16,1,0.3664000034332275,3.5760416984558105
ResNet20v1,ff,cw,1,pgd,untargeted,vgg13,4,0.5874000191688538,2.17026162147522
ResNet20v1,ff,cw,1,pgd,untargeted,vgg16,2,0.5515999794006348,2.487302541732788
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg16,0,0.3828999996185303,3.494232416152954
ResNet20v1,ff,cw,1,pgd,untargeted,vgg16,1,0.5846999883651733,2.4674715995788574
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg16,2,0.3215000033378601,3.820989370346069
ResNet20v1,ff,cw,1,pgd,untargeted,vgg11,4,0.5489000082015991,2.3242335319519043
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg11,1,0.3616999983787536,3.108618259429932
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg19,2,0.3736999928951263,3.605876207351685
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg13,4,0.4135000109672546,3.3680121898651123
ResNet20v1,ff,cw,1,pgd,untargeted,vgg19,4,0.6301000118255615,2.1092231273651123
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg13,1,0.4223999977111816,3.232686996459961
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg13,2,0.4147000014781952,3.404948711395264
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg19,4,0.4007000029087066,3.448739051818848
ResNet20v1,ff,cw,1,pgd,untargeted,vgg11,2,0.5450000166893005,2.334391117095948
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg11,2,0.3447999954223633,3.1411447525024414
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg16,4,0.3732999861240387,3.526991367340088
ResNet20v1,ff,cw,1,pgd,untargeted,vgg13,0,0.5828999876976013,2.2565743923187256
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg11,4,0.3375999927520752,3.211515188217163
ResNet20v1,ff,cw,1,pgd,untargeted,vgg13,2,0.6322000026702881,2.126950025558472
ResNet20v1,ff,cw,1,pgd,untargeted,vgg11,1,0.5667999982833862,2.2851157188415527
ResNet20v1,ff,cw,1,pgd,untargeted,vgg19,1,0.5967000126838684,2.303931474685669
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg13,0,0.3792000114917755,3.5208754539489746
ResNet20v1,ff,cw,1,pgd,untargeted,vgg16,4,0.6121000051498413,2.420466184616089
ResNet20v1,ff,cw,1,pgd,untargeted,vgg19,0,0.5968999862670898,2.22138786315918
ResNet20v1,ff,cw,1,pgd,targeted_ll,vgg11,0,0.3273999989032745,3.194663524627685
ResNet20v1,ff,cw,1,original,original,original,0,0.6449000239372253,1.6508654356002808
ResNet20v1,ff,cw,2,cwl2,untargeted,ResNet56v1,1,0.1123000010848045,10.27957248687744
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet20v1,1,0.0991000011563301,4.88533878326416
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet56v2,2,0.0653000026941299,5.707967281341553
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet20v2,2,0.0979000031948089,4.780995845794678
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet20v2,3,0.1974000036716461,4.329553127288818
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet20v1,0,0.3023000061511993,3.2036890983581543
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet56v2,1,0.1785999983549118,4.344187736511231
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet56v2,1,0.0674000009894371,5.411591053009033
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet20v1,6,0.0467000007629394,6.207064151763916
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet20v1,5,0.2152000069618225,3.98524808883667
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet56v2,3,0.1472000032663345,4.665014743804932
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet20v2,2,0.2029999941587448,3.9968109130859375
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet56v1,3,0.0579999983310699,6.156588554382324
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet56v2,3,0.0640000030398368,5.589315414428711
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet20v2,3,0.0930000022053718,5.045197010040283
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet20v2,1,0.3118999898433685,3.183321475982666
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet56v1,1,0.0688999965786933,5.757538795471191
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet56v1,3,0.161200001835823,4.644590854644775
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet20v1,7,0.1240999996662139,5.118625164031982
ResNet20v1,ff,cw,2,pgd,targeted_2nd,ResNet56v1,7,0.0436000004410743,6.59455680847168
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet20v1,1,0.2138999998569488,3.922412395477295
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet56v1,2,0.1165999993681907,4.823755264282227
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet56v1,2,0.2698000073432922,3.5376789569854736
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet20v2,1,0.2405000030994415,3.3985071182250977
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet20v2,0,0.0636000037193298,5.496600151062012
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet56v1,1,0.1676999926567077,4.586846828460693
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet56v2,0,0.0219999998807907,7.257297515869141
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet20v1,5,0.0812000036239624,5.2593865394592285
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet56v1,0,0.0549999997019767,6.147956848144531
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet20v1,2,0.1124000027775764,4.681436538696289
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet20v2,0,0.1553999930620193,4.510911464691162
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet20v1,6,0.1374000012874603,4.994045734405518
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet20v1,4,0.0375000014901161,6.132362842559815
ResNet20v1,ff,cw,2,cwl2,targeted_2nd,ResNet56v1,0,0.3233000040054321,3.1334822177886963
ResNet20v1,ff,cw,2,cwl2,targeted_ll,ResNet56v1,0,0.6680999994277954,1.6778050661087036
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet20v1,4,0.1160999983549118,5.103069305419922
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet56v2,0,0.0769999995827674,5.802756309509277
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet20v1,3,0.0816999971866607,5.1968913078308105
ResNet20v1,ff,cw,2,pgd,targeted_ll,ResNet20v1,7,0.0522000007331371,6.128868579864502
ResNet20v1,ff,cw,2,cwl2,targeted_ll,ResNet56v1,1,0.6765999794006348,1.6146869659423828
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet20v1,0,0.3826000094413757,2.8767614364624023
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet56v1,0,0.0397999994456768,7.138784408569336
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet20v1,3,0.2119999974966049,3.895564794540405
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet20v1,2,0.2502000033855438,3.546438217163086
ResNet20v1,ff,cw,2,cwl2,untargeted,ResNet56v1,0,0.3249000012874603,3.102292060852051
ResNet20v1,ff,cw,2,pgd,untargeted,ResNet56v2,2,0.1293999999761581,4.857460498809815
