TargetClass,PathIndex,PathNodes,Threshold,Accuracy
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
18,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.0000,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.5000,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.7311,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.8808,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9526,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9820,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9933,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9975,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9991,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9997,nan%
19,1,"[{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}]",0.9999,nan%
