model,dataset,accuracy
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7893
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8067
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7874
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8063
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7934
resnet20v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8568
resnet20v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8471
resnet20v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8526
resnet20v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8494
resnet20v1_original_tuned-once-on_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8406
resnet20v1_original_tuned-once-on_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8483
resnet20v1_original_tuned-once-on_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8558
resnet20v1_original_tuned-once-on_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8452
resnet20v1_original_tuned-thrice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8549
resnet20v1_original_tuned-twice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8518
resnet20v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7763
resnet20v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7925
resnet20v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7933
resnet20v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7924
resnet20v1_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7821
resnet20v1_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.79
resnet20v1_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7949
resnet20v1_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7694
resnet20v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8478
resnet20v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8509
resnet20v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8556
resnet20v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8428
resnet20v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.748
resnet20v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7568
resnet20v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7592
resnet20v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.755
resnet56v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.851
resnet56v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8571
resnet56v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8488
resnet56v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8522
resnet56v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7962
resnet56v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7744
resnet56v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7883
resnet56v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7798
resnet56v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7831
resnet56v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8455
resnet56v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8338
resnet56v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8371
resnet56v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7448
resnet56v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7621
resnet56v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7227
resnet56v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.7465
vgg11_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8048
vgg13_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8299
vgg16_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8262
vgg19_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-resnet56v2-ver0_test,0.8279
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8092
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8136
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7891
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7923
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8821
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7976
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8067
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8035
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8272
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8389
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8073
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8159
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8203
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8191
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7974
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8004
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7829
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7931
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8289
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8281
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7946
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7983
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8028
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7963
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8066
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8017
resnet20v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8569
resnet20v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8532
resnet20v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8527
resnet20v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8522
resnet20v1_original_tuned-once-on_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8517
resnet20v1_original_tuned-once-on_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8554
resnet20v1_original_tuned-once-on_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8525
resnet20v1_original_tuned-once-on_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8555
resnet20v1_original_tuned-thrice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8478
resnet20v1_original_tuned-twice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8504
resnet20v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7815
resnet20v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8012
resnet20v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8002
resnet20v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8086
resnet20v1_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7987
resnet20v1_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8073
resnet20v1_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7973
resnet20v1_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7856
resnet20v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8674
resnet20v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8619
resnet20v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8662
resnet20v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.862
resnet20v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7768
resnet20v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7708
resnet20v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.778
resnet20v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7778
resnet56v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8631
resnet56v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.86
resnet56v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8565
resnet56v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8627
resnet56v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8236
resnet56v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7934
resnet56v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8059
resnet56v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7994
resnet56v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8762
resnet56v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8737
resnet56v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8724
resnet56v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.8703
resnet56v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7853
resnet56v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7893
resnet56v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7679
resnet56v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7891
vgg11_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7343
vgg13_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7921
vgg16_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7931
vgg19_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg11-ver0_test,0.7974
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8342
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8326
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8168
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8197
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8988
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.827
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8294
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8269
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8535
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8639
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8271
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.843
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.847
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8455
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.7993
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8088
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.7951
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8122
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8302
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8258
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.822
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8231
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8217
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8154
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8245
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8202
resnet20v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.86
resnet20v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8593
resnet20v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8592
resnet20v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8556
resnet20v1_original_tuned-once-on_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8523
resnet20v1_original_tuned-once-on_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8537
resnet20v1_original_tuned-once-on_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8594
resnet20v1_original_tuned-once-on_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8525
resnet20v1_original_tuned-thrice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8546
resnet20v1_original_tuned-twice-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8566
resnet20v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8056
resnet20v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8166
resnet20v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8211
resnet20v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8211
resnet20v1_original_ver4,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8142
resnet20v1_original_ver5,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8237
resnet20v1_original_ver6,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8189
resnet20v1_original_ver7,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8068
resnet20v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8665
resnet20v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8625
resnet20v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8679
resnet20v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8616
resnet20v2_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.7936
resnet20v2_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.7897
resnet20v2_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.7979
resnet20v2_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8016
resnet56v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8652
resnet56v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8587
resnet56v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8599
resnet56v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8645
resnet56v1_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8313
resnet56v1_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8157
resnet56v1_original_ver2,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8237
resnet56v1_original_ver3,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8199
resnet56v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8716
resnet56v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-untargeted-by-vgg13-ver0_test,0.8704
