logifold_type,entropy_threshold,simple_label,generator_family,Adv_using_history,average_voting_by_Judges,simple_majority_voting_by_Judges,simple_majority_voting_by_all,average_voting_by_all,Adv - judges_avg,Adv - All_avg,Adv - judges_majority,Adv - All_majority
PGD_VGG_targeted-to-least,143.21193691002415,"pgd(least, big)",resnet,0.914825,0.7903249999999999,0.7889999999999999,0.8945,0.89695,0.12450000000000006,0.017874999999999974,0.12582500000000008,0.020325000000000037
PGD_VGG_targeted-to-least,143.21193691002415,pgd(big),vgg,0.9196,0.8648750000000001,0.86455,0.898325,0.8994500000000001,0.05472499999999991,0.02014999999999989,0.05504999999999993,0.021274999999999933
PGD_VGG_targeted-to-least,143.21193691002415,original,,0.9384,0.9408,0.94,0.937,0.9386,-0.0023999999999999577,-0.00019999999999997797,-0.0015999999999999348,0.0013999999999999568
PGD_VGG_targeted-to-least,143.21193691002415,DF,resnet,0.8866,0.8893,0.8875,0.8865,0.888,-0.0026999999999999247,-0.0013999999999999568,-0.0008999999999999009,0.00010000000000010001
PGD_VGG_targeted-to-least,143.21193691002415,cwl2,resnet,0.9304,0.9347,0.9336,0.9339,0.9354,-0.0042999999999999705,-0.0050000000000000044,-0.0031999999999999806,-0.0034999999999999476
PGD_VGG_targeted-to-least,143.21193691002415,"pgd(2nd, std)",resnet,0.9344,0.9388,0.9386,0.9369,0.9372,-0.0043999999999999595,-0.0028000000000000247,-0.0041999999999999815,-0.0024999999999999467
PGD_VGG_targeted-to-least,143.21193691002415,pgd(std),resnet,0.9346,0.9393,0.9388,0.937,0.9373,-0.0047000000000000375,-0.0027000000000000357,-0.0041999999999999815,-0.0024000000000000687
PGD_VGG_targeted-to-least,143.21193691002415,"pgd(least, std)",resnet,0.9348,0.9401,0.939,0.9373,0.938,-0.005300000000000082,-0.0031999999999999806,-0.0041999999999999815,-0.0025000000000000577
PGD_VGG_targeted-to-least,143.21193691002415,cwl2(2nd),resnet,0.9273,0.9349,0.9336,0.934,0.9354,-0.00759999999999994,-0.008099999999999996,-0.006299999999999972,-0.006700000000000039
PGD_VGG_targeted-to-least,143.21193691002415,cwl2(least),resnet,0.9293,0.9394,0.9385,0.9364,0.9381,-0.010099999999999998,-0.00880000000000003,-0.009199999999999986,-0.007099999999999995
PGD_VGG_untargeted,63.06013327552098,"pgd(2nd, big)",resnet,0.8988,0.5952,0.5967,0.821,0.8226,0.3036000000000001,0.07620000000000005,0.30210000000000004,0.07780000000000009
PGD_VGG_untargeted,63.06013327552098,fgm,resnet,0.8926,0.7232,0.7213,0.8513,0.8528,0.1694,0.03979999999999995,0.1712999999999999,0.0413
PGD_VGG_untargeted,63.06013327552098,fgm(2nd),resnet,0.8942,0.7264,0.7274,0.8524,0.8546,0.16779999999999995,0.03959999999999997,0.16679999999999995,0.04179999999999995
